Prioridad,Fase,Componente,Tipo,Stack Tecnológico,Responsabilidades,Métodos/Endpoints Principales,Dependencias,Esfuerzo Original (días),Esfuerzo con IA (días),Reducción (%),Notas Técnicas
1,Fundación,Infraestructura Base AWS,Infrastructure,"Terraform, AWS VPC, Security Groups, IAM","Crear red, seguridad y permisos base","N/A - Terraform modules",Azure AD configurado,3-5,2-3,45%,"Usar terraform/environments/staging, validar antes de prod. AI: Generación de módulos Terraform"
2,Fundación,Base de Datos - Catálogo,Database,"PostgreSQL 16 (RDS Graviton4), Flyway","Esquema de catálogos, AFOREs, usuarios, archivos metadata","N/A - DDL Scripts","Infraestructura AWS, VPC",2-3,1-2,40%,"Usar Row-Level Security (RLS) por AFORE, índices en aforeId. AI: Generación de DDL y migrations"
3,Fundación,Base de Datos - Validación,Database,"PostgreSQL 16 (RDS Graviton4), Flyway","Esquema de reglas de validación, resultados, históricos","N/A - DDL Scripts","Infraestructura AWS, VPC",2-3,1-2,40%,"Optimizar para queries pesadas, particionamiento por fecha. AI: Schema design optimizado"
4,Fundación,DynamoDB - Event Store,Database,"DynamoDB, AWS SDK","Event sourcing inmutable, audit trail 7 años","PutItem, Query, Scan con GSI","Infraestructura AWS, KMS key",1-2,1,45%,"TTL=2555 días, GSI por eventType y aforeId. AI: Terraform y setup automatizado"
5,Fundación,ElastiCache - Redis,Cache,"Redis 7 (Graviton3), StackExchange.Redis","Cache distribuido, sesiones, rate limiting","GET, SET, EXPIRE, HGET, LPUSH","Infraestructura AWS, VPC",1,0.5,50%,"Auth token habilitado, encriptación in-transit. AI: Config automatizada"
6,Fundación,Secrets & Configuration,Security,"AWS Secrets Manager, Azure AD","Gestión de secrets, configuración Azure AD","GetSecretValue (AWS SDK)","Azure AD Client Secret, DB passwords",1,0.5,50%,"Rotación automática de secrets cada 90 días. AI: Scripts de rotación generados"
7,Core Backend,API Gateway Setup,API Gateway,"AWS API Gateway v2 HTTP, JWT Authorizer","Routing, autenticación JWT, rate limiting, WAF","N/A - AWS Configuration","Azure AD, VPC Link, ALB",2,1,50%,"Throttling: 2000 req/s prod, validar OIDC endpoint Azure. AI: Terraform completo"
8,Core Backend,Shared Libraries,Library,".NET 8, C#","DTOs compartidos, extensions, helpers, validators","N/A - Shared code",Ninguna,3-5,2-3,55%,"Azure.Identity, AWSSDK.*, Serilog, FluentValidation. AI: Generación de DTOs y validators"
9,Core Backend,Authentication Service,Microservice,".NET 8 Web API, Azure.Identity","Validación de JWT tokens, extracción de claims, autorización","ValidateToken(), GetUserClaims(), CheckPermissions()","Azure AD, Secrets Manager, Shared Libraries",3-5,2-3,55%,"Middleware personalizado, cache de public keys JWKS. AI: Boilerplate y middleware"
10,Core Backend,Catalog Service - API,Microservice,".NET 8 Web API, EF Core, Dapper","CRUD de catálogos, AFOREs, usuarios, archivos","GET/POST/PUT/DELETE /api/catalogs, /api/afores, /api/users, /api/files","DB Catálogo, Redis, Authentication",5-7,3-4,55%,"ECS Fargate, Graviton4 ARM64, health check /health. AI: CRUD completo generado"
11,Core Backend,File Upload Service,Microservice,".NET 8 Web API, AWSSDK.S3","Upload de archivos CONSAR a S3, metadata a DB","POST /api/files/upload, GET /api/files/{id}/download","S3 raw bucket, DB Catálogo, SQS",3-5,2-3,55%,"Multipart upload, validación de formato (TXT), max 500MB. AI: S3 integration code"
