COMPARATIVA DE ESCENARIOS MVP - HERGON (PESOS MEXICANOS) - VERSIÓN 2.0

=== RESUMEN EJECUTIVO ===
Escenario,Inversión Total,Ahorro vs Premium,Timeline,Equipo,Soporte Incluido,Calidad,Riesgo,Go-Live,Recomendado
MVP Premium (Baseline),"$2,272,813",0%,12 semanas,5 Full-time,No,100%,Bajo,Marzo 2026,Para VC-backed
MVP Optimizado,"$1,487,500",35% ($785K),14 semanas,3 FT + 2 PT,No,90%,Medio,Abril 2026,SÍ - RECOMENDADO GENERAL ✅
MVP Lean,"$987,200",57% ($1.29M),16 semanas,2 FT + 3 Freelance,No,70%,Alto,Mayo 2026,Solo validación
MVP Bootstrapped,"$623,400",73% ($1.65M),20 semanas,2 Fundadores,No,40%,Muy Alto,Julio 2026,Solo si fundadores = devs
Bootstrap + Soporte 🆕,"$863,400",62% ($1.41M),20 semanas,1 Semi-Sr + 2 Jr + 2 Jr Soporte,SÍ (12 meses),45%,Alto,Julio 2026,RECOMENDADO PRESUPUESTO LIMITADO ✅

=== DESGLOSE DETALLADO POR CATEGORÍA ===
Categoría,Premium,Optimizado,Lean,Bootstrapped,Bootstrap+Soporte,Estrategia Optimización
Personal Desarrollo,"$915,000","$637,500","$665,000","$60,000","$565,000","Semi-Sr + Jr con AI tools"
Personal Soporte Año 1,"$0","$0","$0","$0","$240,000","2 Jr híbrido dev/ops (10 meses)"
AI Tools,"$20,700","$4,500","$0","$0","$0","100% free tier (Codeium, Tabnine)"
Infraestructura,"$60,000","$35,000","$29,000","$0","$45,000","Railway + Supabase + CF Workers"
Herramientas SaaS,"$66,000","$12,000","$0","$0","$0","100% OSS + free tiers"
Office & Hardware,"$225,000","$65,000","$50,000","$30,000","$40,000","100% remoto + BYOD"
Capacitación,"$30,000","$5,000","$0","$0","$0","Online gratis"
Legal,"$40,000","$20,000","$15,000","$15,000","$25,000","Templates + básico"
Compliance CONSAR,"$50,000","$25,000","$10,000","$0","$0","DIY (post-MVP)"
Marketing,"$140,000","$25,000","$5,000","$10,000","$15,000","Orgánico + materiales básicos"
Contingencia,"$129,070","$54,400","$40,000","$40,000","$0","Reducida agresivamente"
IVA 16%,"$270,043","$141,344","$121,440","$18,400","$64,000","Solo sobre servicios"
Reserva Operacional,"$312,000","$156,000","$80,000","$50,000","$-130,600","Reducida por pre-ventas"
Otros,"$15,000","$6,756","$2,760","$0","$0","N/A"
TOTAL,"$2,272,813","$1,188,500","$1,018,200","$223,400","$863,400",
Ajustado con contingencia real,"$2,272,813","$1,487,500","$987,200","$623,400","$863,400",

=== DESGLOSE DE PERSONAL DESARROLLO ===
Rol,Premium (3 meses),Optimizado (3.5 meses),Lean (4 meses),Bootstrapped (5 meses),Bootstrap+Soporte (5 meses)
Tech Lead / Architect,"$210,000 (FT)","$245,000 (FT)","$280,000 (FT)","$0 (Fundador)","$0 (eliminar)"
Tech Lead Semi-Sr,"-","-","-","-","$275,000 (FT, $55K/mes)"
Backend Senior,"$300,000 (2 FT)","$175,000 (1 FT)","$200,000 (1 FT)","$0 (Fundador)","-"
Backend Junior,"-","-","-","-","$150,000 (FT, $30K/mes)"
Backend Mid,"-","$140,000 (1 FT)","-","-","-"
Frontend Senior,"$135,000 (FT)","$78,750 (PT 50%)","-","-","-"
Frontend Junior,"-","-","-","-","$140,000 (FT, $28K/mes)"
Frontend Freelance,"-","-","$105,000 (3 meses)","$60,000 (2 meses)","-"
DevOps,"$150,000 (FT)","$105,000 (PT 60%)","-","-","-"
DevOps Freelance,"-","-","$50,000 (2 meses)","-","-"
QA Engineer,"$120,000 (FT)","-","-","-","-"
QA Freelance,"-","-","$30,000 (1 mes)","-","-"
TOTAL PERSONAL DEV,"$915,000","$743,750","$665,000","$60,000","$565,000"

=== EQUIPO SOPORTE AÑO 1 (SOLO BOOTSTRAP+SOPORTE) ===
Rol,Meses 1-2 (Beta),Meses 3-12 (Producción),Salario/Mes,Total Anual
Soporte L1 Junior (Dev + Ops),Equipo dev hace soporte,Full-time,"$15,000","$150,000 (10 meses)"
Soporte L2 Junior (DevOps),Equipo dev hace soporte,Part-time 60%,"$9,000","$90,000 (10 meses)"
TOTAL SOPORTE,"$0 (beta gratuita)","$24,000/mes","$24,000/mes","$240,000"

Distribución de tiempo soporte:
Actividad,% Tiempo,Equipo,Descripción
Desarrollo,40%,L1 (80%) + L2 (20%),"Features nuevos, mejoras UI, bug fixes"
Operaciones,35%,L1 (50%) + L2 (50%),"Tickets usuarios, monitoreo, QA, logs"
DevOps,25%,L2 (100%),"Deploy, scaling, backup, security patches"

=== ESTRUCTURA DE EQUIPO ===
Posición,Premium,Optimizado,Lean,Bootstrapped,Bootstrap+Soporte
Full-time desarrollo,5 personas,3 personas,2 personas,2 fundadores,3 personas (1 Semi-Sr + 2 Jr)
Part-time desarrollo,0,2 personas (50% y 60%),0,0,0
Freelancers desarrollo,0,0,3 personas,1 persona,0
Soporte incluido,No,No,No,No,"Sí (2 Jr, 10 meses)"
Total headcount dev,5,5 (3 FT + 2 PT),5 (2 FT + 3 FL),3 (2 fundadores + 1 FL),3 FT
Total headcount soporte,0,0,0,0,2 (1 FT + 1 PT)
Costo promedio/persona/mes dev,"$61,000","$42,411","$33,250","$4,000","$37,667"
Costo promedio/persona/mes soporte,"-","-","-","-","$12,000"

=== AI TOOLS DETALLADO ===
Herramienta,Premium (5 lic),Optimizado (3 lic),Lean,Bootstrapped,Bootstrap+Soporte
Claude Code Pro,"$3,000/mes × 3 = $9,000","$600/mes × 3 = $1,800 (2 free + 1 pro)","-","-","-"
Claude Code,"-","-","-","-","Free tier (ilimitado)"
GitHub Copilot Enterprise,"$1,900/mes × 3 = $5,700","-","-","-","-"
GitHub Copilot Individual,"-","$900/mes × 3 = $2,700 (3 lic)","NO","NO","NO"
Cursor AI,"$2,000/mes × 3 = $6,000","-","-","-","-"
Codeium,"-","-","-","-","Free tier (ilimitado, reemplazo Copilot)"
Tabnine,"-","-","Free tier","Free tier","Free tier (autocomplete)"
ChatGPT 4.0,"-","-","-","-","Free tier (consultas)"
TOTAL AI TOOLS,"$20,700","$4,500","$0","$0","$0"
Productividad con IA,100%,95%,80%,70%,85% (free tier suficiente)

=== INFRAESTRUCTURA ===
Componente,Premium,Optimizado,Lean,Bootstrapped,Bootstrap+Soporte
Staging (Mes 1-2),"$18,000 (2 meses)","$0 (LocalStack)","$0 (LocalStack)","$0 (no staging)","$0 (LocalStack local)"
Staging (Mes 3),"$9,000 (1 mes)","$9,000 (1 mes)","$9,000 (1 mes)","-","$0 (no staging real)"
Producción AWS,"$33,000 (1 mes)","$26,000 (Spot)","$20,000 (Single AZ)","-","-"
Backend Hosting,AWS ECS Fargate,AWS ECS Fargate,AWS ECS Fargate,"-","Railway Developer $100/mes × 5 = $500"
Database,AWS RDS PostgreSQL,AWS RDS PostgreSQL,AWS RDS t4g.medium,"-","Supabase Pro $500/mes × 5 = $2,500"
File Storage,AWS S3,AWS S3,AWS S3,Cloudflare R2 Free,"Cloudflare R2 Free (10GB)"
Serverless Functions,AWS Lambda,AWS Lambda,AWS Lambda,Cloudflare Workers,"Cloudflare Workers Free (100K req/día)"
Frontend Hosting,AWS CloudFront,AWS CloudFront,AWS CloudFront,Vercel Free,"Vercel Hobby Free"
