Prioridad,Fase,Componente,Tipo,Stack Tecnológico,Responsabilidades,Métodos/Endpoints Principales,Dependencias,Esfuerzo (días),Notas Técnicas
1,Fundación,Infraestructura Base AWS,Infrastructure,"Terraform, AWS VPC, Security Groups, IAM","Crear red, seguridad y permisos base","N/A - Terraform modules",Azure AD configurado,3-5,"Usar terraform/environments/staging, validar antes de prod"
2,Fundación,Base de Datos - Catálogo,Database,"PostgreSQL 16 (RDS Graviton4), Flyway","Esquema de catálogos, AFOREs, usuarios, archivos metadata","N/A - DDL Scripts","Infraestructura AWS, VPC",2-3,"Usar Row-Level Security (RLS) por AFORE, índices en aforeId"
3,Fundación,Base de Datos - Validación,Database,"PostgreSQL 16 (RDS Graviton4), Flyway","Esquema de reglas de validación, resultados, históricos","N/A - DDL Scripts","Infraestructura AWS, VPC",2-3,"Optimizar para queries pesadas, particionamiento por fecha"
4,Fundación,DynamoDB - Event Store,Database,"DynamoDB, AWS SDK","Event sourcing inmutable, audit trail 7 años","PutItem, Query, Scan con GSI","Infraestructura AWS, KMS key",1-2,"TTL=2555 días, GSI por eventType y aforeId"
5,Fundación,ElastiCache - Redis,Cache,"Redis 7 (Graviton3), StackExchange.Redis","Cache distribuido, sesiones, rate limiting","GET, SET, EXPIRE, HGET, LPUSH","Infraestructura AWS, VPC",1,"Auth token habilitado, encriptación in-transit"
6,Fundación,Secrets & Configuration,Security,"AWS Secrets Manager, Azure AD","Gestión de secrets, configuración Azure AD","GetSecretValue (AWS SDK)","Azure AD Client Secret, DB passwords",1,"Rotación automática de secrets cada 90 días"
7,Core Backend,API Gateway Setup,API Gateway,"AWS API Gateway v2 HTTP, JWT Authorizer","Routing, autenticación JWT, rate limiting, WAF","N/A - AWS Configuration","Azure AD, VPC Link, ALB",2,"Throttling: 2000 req/s prod, validar OIDC endpoint Azure"
8,Core Backend,Shared Libraries,Library,".NET 8, C#","DTOs compartidos, extensions, helpers, validators","N/A - Shared code",Ninguna,3-5,"Azure.Identity, AWSSDK.*, Serilog, FluentValidation"
9,Core Backend,Authentication Service,Microservice,".NET 8 Web API, Azure.Identity","Validación de JWT tokens, extracción de claims, autorización","ValidateToken(), GetUserClaims(), CheckPermissions()","Azure AD, Secrets Manager, Shared Libraries",3-5,"Middleware personalizado, cache de public keys JWKS"
10,Core Backend,Catalog Service - API,Microservice,".NET 8 Web API, EF Core, Dapper","CRUD de catálogos, AFOREs, usuarios, archivos","GET/POST/PUT/DELETE /api/catalogs, /api/afores, /api/users, /api/files","DB Catálogo, Redis, Authentication",5-7,"ECS Fargate, Graviton4 ARM64, health check /health"
11,Core Backend,File Upload Service,Microservice,".NET 8 Web API, AWSSDK.S3","Upload de archivos CONSAR a S3, metadata a DB","POST /api/files/upload, GET /api/files/{id}/download","S3 raw bucket, DB Catálogo, SQS",3-5,"Multipart upload, validación de formato (TXT), max 500MB"
12,Core Backend,Validation Engine - Core,Microservice,".NET 8 Web API, MediatR","Orquestación de validaciones, dispatch a Lambda","POST /api/validations/execute, GET /api/validations/{id}/status","DB Validación, SQS, SNS, EventBridge",5-7,"Patrón CQRS, comandos asíncronos, idempotencia"
13,Core Backend,Lambda Validator - Estructura,Serverless,".NET 8 Lambda (ARM64), AWSSDK","Validación de estructura de archivos TXT CONSAR","LambdaHandler(S3Event)","S3, DB Validación, DynamoDB Event Store",2-3,"SnapStart habilitado, timeout 5 min, memoria 1GB"
14,Core Backend,Lambda Validator - Formato,Serverless,".NET 8 Lambda (ARM64), AWSSDK","Validación de formatos de campos (fechas, montos, etc)","LambdaHandler(SQSEvent)","SQS, DB Validación, DynamoDB",2-3,"Provisioned concurrency=1, ARM64 Graviton4"
15,Core Backend,Lambda Validator - Reglas Negocio,Serverless,".NET 8 Lambda (ARM64), AWSSDK","Validación de 37 reglas de negocio CONSAR","LambdaHandler(SQSEvent)","DB Validación (queries complejas), DynamoDB",5-7,"Optimizar queries, usar Dapper para performance, batch processing"
16,Core Backend,Lambda Validator - Integridad,Serverless,".NET 8 Lambda (ARM64), AWSSDK","Validación de integridad referencial entre archivos","LambdaHandler(SQSEvent)","DB Catálogo, DB Validación, Redis (cache)",3-5,"Cache de catálogos en Redis, TTL 1 hora"
17,Core Backend,Lambda Validator - Consistencia,Serverless,".NET 8 Lambda (ARM64), AWSSDK","Validación de consistencia temporal y secuencial","LambdaHandler(SQSEvent)","DB Validación (históricos), DynamoDB",3-5,"Queries por rangos de fecha, índices optimizados"
18,Core Backend,Results Aggregator Service,Microservice,".NET 8 Worker Service, MediatR","Agregación de resultados de validaciones Lambda","ProcessResults() - Background worker","SQS, DB Validación, DynamoDB, SNS",3-5,"ECS Fargate worker, long-running tasks, auto-scaling"
19,Core Backend,Report Generator Service,Microservice,".NET 8 Worker Service, QuestPDF/iTextSharp","Generación de reportes PDF/Excel de validaciones","GenerateReport(validationId), GET /api/reports/{id}","DB Validación, S3 reports bucket",5-7,"Async generation, SQS trigger, templates personalizables"
20,Core Backend,Notification Service,Microservice,".NET 8 Worker Service, AWS SES/SNS","Notificaciones email/SMS a AFOREs sobre validaciones","SendEmail(), SendSMS(), WebhookNotify()","SNS, SES, DB Catálogo (contactos)",3-5,"Templates de emails, retry logic, DLQ para fallos"
21,Core Backend,Event Processor Service,Microservice,".NET 8 Worker Service, MediatR","Procesamiento de eventos de DynamoDB Streams","ProcessEvent() - Stream consumer","DynamoDB Streams, Event Store",3-5,"Checkpointing, exactly-once processing, idempotencia"
22,Core Backend,Audit Service,Microservice,".NET 8 Web API, EF Core","Consulta de audit trail, compliance CONSAR","GET /api/audit/events, GET /api/audit/user-actions","DynamoDB Event Store, DB Catálogo",3-5,"Read-only API, queries por usuario/fecha/tipo, paginación"
23,Integración,API Gateway Integration,Integration,"API Gateway, ALB, ECS","Integración completa API Gateway → ALB → ECS","N/A - AWS Configuration","API Gateway, ALB, ECS Services",2-3,"VPC Link, security groups, health checks, pruebas JWT"
24,Integración,Message Queue Setup,Integration,"SQS, SNS, EventBridge, Lambda","Configurar colas, topics, event routing","N/A - AWS Configuration","Lambda functions, ECS services",2-3,"Dead letter queues, retries, CloudWatch alarms"
25,Monitoring,Logging Infrastructure,Monitoring,"Serilog, CloudWatch Logs, Logs Insights","Logging estructurado, correlación de requests","N/A - Configuration in all services",Todos los servicios backend,2-3,"JSON structured logs, correlation IDs, sensitive data masking"
26,Monitoring,Metrics & Dashboards,Monitoring,"CloudWatch Metrics, Dashboards, X-Ray","Métricas custom, dashboards, distributed tracing","N/A - CloudWatch configuration",Todos los servicios,2-3,"Custom metrics: validation_count, error_rate, latency_p99"
27,Monitoring,Alerting & Alarms,Monitoring,"CloudWatch Alarms, SNS, PagerDuty","Alarmas críticas, escalación, on-call","N/A - CloudWatch Alarms",CloudWatch Metrics, SNS topics,1-2,"Umbrales: CPU>80%, errors>10/5min, latency_p99>2s"
