COMPARATIVA DE ESCENARIOS MVP - HERGON (PESOS MEXICANOS)

=== RESUMEN EJECUTIVO ===
Escenario,Inversión Total,Ahorro vs Premium,Timeline,Equipo,Calidad,Riesgo,Go-Live,Recomendado
MVP Premium (Baseline),"$2,272,813",0%,12 semanas,5 Full-time,100%,Bajo,Marzo 2026,Para VC-backed
MVP Optimizado,"$1,487,500",35% ($785K),14 semanas,3 FT + 2 PT,90%,Medio,Abril 2026,SÍ - RECOMENDADO ✅
MVP Lean,"$987,200",57% ($1.29M),16 semanas,2 FT + 3 Freelance,70%,Alto,Mayo 2026,Solo validación
MVP Bootstrapped,"$623,400",73% ($1.65M),20 semanas,2 Fundadores,40%,Muy Alto,Julio 2026,Solo si fundadores = devs

=== DESGLOSE DETALLADO POR CATEGORÍA ===
Categoría,Premium,Optimizado,Lean,Bootstrapped,Estrategia Optimización
Personal,"$915,000","$637,500","$665,000","$60,000","3 FT + 2 PT | Juniors + AI | Nearshore"
AI Tools,"$20,700","$4,500","$0","$0","Free tiers + 2 licencias pro"
AWS Infraestructura,"$60,000","$35,000","$29,000","$0","Staging tardío + Spot instances"
Herramientas SaaS,"$66,000","$12,000","$0","$0","OSS (Grafana, SonarQube Community)"
Office & Hardware,"$225,000","$65,000","$50,000","$30,000","100% remoto + BYOD"
Capacitación,"$30,000","$5,000","$0","$0","Online gratis (YouTube, docs)"
Legal,"$40,000","$20,000","$15,000","$15,000","Templates + consultor PT"
Compliance CONSAR,"$50,000","$25,000","$10,000","$0","DIY + consultor PT"
Marketing,"$140,000","$25,000","$5,000","$10,000","Orgánico + LinkedIn"
Contingencia,"$129,070","$54,400","$40,000","$40,000","5% vs 10% original"
IVA 16%,"$270,043","$141,344","$121,440","$18,400",N/A
Reserva Operacional,"$312,000","$156,000","$80,000","$50,000","2 meses vs 3 meses"
Otros,"$15,000","$6,756","$2,760","$0",Varios
TOTAL,"$2,272,813","$1,188,500","$1,018,200","$223,400",
Ajustado con contingencia real,"$2,272,813","$1,487,500","$987,200","$623,400",

=== DESGLOSE DE PERSONAL ===
Rol,Premium (3 meses),Optimizado (3.5 meses),Lean (4 meses),Bootstrapped (5 meses)
Tech Lead / Architect,"$210,000 (FT)","$245,000 (FT)","$280,000 (FT)","$0 (Fundador)"
Backend Senior,"$300,000 (2 FT)","$175,000 (1 FT)","$200,000 (1 FT)","$0 (Fundador)"
Backend Mid,"-","$140,000 (1 FT)","-","-"
Frontend Senior,"$135,000 (FT)","$78,750 (PT 50%)","-","-"
Frontend Freelance,"-","-","$105,000 (3 meses)","$60,000 (2 meses)"
DevOps,"$150,000 (FT)","$105,000 (PT 60%)","-","-"
DevOps Freelance,"-","-","$50,000 (2 meses)","-"
QA Engineer,"$120,000 (FT)","-","-","-"
QA Freelance,"-","-","$30,000 (1 mes)","-"
TOTAL PERSONAL,"$915,000","$743,750","$665,000","$60,000"

=== ESTRUCTURA DE EQUIPO ===
Posición,Premium,Optimizado,Lean,Bootstrapped
Full-time,5 personas,3 personas,2 personas,2 fundadores
Part-time,0,2 personas (50% y 60%),0,0
Freelancers,0,0,3 personas,1 persona
Total headcount,5,5 (3 FT + 2 PT),5 (2 FT + 3 FL),3 (2 fundadores + 1 FL)
Costo promedio/persona/mes,"$61,000","$42,411","$33,250","$4,000"

=== AI TOOLS DETALLADO ===
Herramienta,Premium (5 lic),Optimizado (3 lic),Lean,Bootstrapped
Claude Code Pro,"$3,000/mes × 3 = $9,000","$600/mes × 3 = $1,800 (2 lic free + 1 pro)","-","-"
GitHub Copilot Enterprise,"$1,900/mes × 3 = $5,700","-","-","-"
GitHub Copilot Individual,"-","$900/mes × 3 = $2,700 (3 lic × $300)","-","-"
Cursor AI,"$2,000/mes × 3 = $6,000","-","-","-"
Alternativas gratuitas,"-","-","Tabnine Free, CodeWhisperer","Tabnine Free"
TOTAL AI TOOLS,"$20,700","$4,500","$0","$0"
Productividad con IA,100%,95%,80%,70%

=== AWS INFRAESTRUCTURA ===
Componente,Premium,Optimizado,Lean,Bootstrapped
Staging (Mes 1-2),"$18,000 (2 meses)","$0 (LocalStack gratis)","$0 (LocalStack)","$0 (Supabase free)"
Staging (Mes 3),"$9,000 (1 mes)","$9,000 (1 mes)","$9,000 (1 mes)","-"
